PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
DIST DIR AND COMMUNITY OUTRCH DIR,DISTRICT DIRECTOR/COMMUNITY OUTRCH DIRECTOR  ,2
DIST FIELD REP AND VET AFFRS,DISTRICT FIELD DIRECTOR REPRESENTATIVE AND VETERAN AFFAIRS  ,2
DIST OFFICE SCHEDULER AND COMM REL,DISTRICT OFFICE SCHEDULER/COMMUNITY RELATIONS  ,2
DIST OPERATIONS DIRECTOR,DISTRICT OPERATIONS DIRECTOR  ,2
DIST OUTREACH REPRESENTATIVE,DISTRICT OUTREACH REPRESENTATIVE  ,2
DIST PRESS SECY,DISTRICT PRESS SECRETARY  ,2
DIST REP-KALAMAZOO AND DIST ADMIN,DISTRICT REPRESENTATIVE-KALAMAZOO/DISTRICT ADMINISTRATIVE  ,2
DIST SCHEDULER AND REP,DISTRICT SCHEDULER/REPRESENTATIVE  ,2
DIST. SCHEDULER AND CONG. AIDE,DISTRICT SCHEDULER/CONGRESSMAN AIDE  ,2
DISTRICT & COMMUNICATIONS DIR,DISTRICT AND COMMUNICATIONS DIRECTOR  ,2
DISTRICT ADMINISTRATIVE ASSIST,DISTRICT ADMINISTRATIVE ASSISTANT  ,2
DISTRICT ADVISOR,DISTRICT ADVISOR  ,2
DISTRICT AIDE AND PRESS ASSISTANT,DISTRICT AIDE/PRESS ASSISTANT  ,2
DISTRICT AIDE AND PRESS SECRETARY,DISTRICT AIDE/PRESS SECRETARY  ,2
DISTRICT ASST AND CASE MANAGER,DISTRICT ASSISTANT/CASE MANAGER  ,2
DISTRICT CASEWORKER AND OFFICE MAN,DISTRICT CASEWORKER/OFFICE MANAGER  ,2
DISTRICT CHIEF OF STAFF AND AA,DISTRICT CHIEF OF STAFF/ADMINISTRATIVE ASSISTANT  ,2
DISTRICT COMMUNIATIONS & OUTRE,DISTRICT COMMUNIATIONS AND OUTRECH ,2
DISTRICT CONSTITUENT ADVOCATE,DISTRICT CONSTITUENT ADVOCATE  ,2
DISTRICT COORD. POINTS REGION,DISTRICT COORDINATOR POINTS REGION  ,2
DISTRICT COUNSELOR,DISTRICT COUNSELOR  ,2
DISTRICT DEPUTY DIRECTOR,DISTRICT DEPUTY DIRECTOR  ,2
DISTRICT DIR - FIELD SERVICES,DISTRICT DIRECTOR - FIELD DIRECTOR SERVICES  ,2
DISTRICT DIR & DEPUTY C.O.S,DISTRICT DIRECTOR AND DEPUTY C.O.S  ,2
"DISTRICT DIR, DEPUTY C.O.S","DISTRICT DIRECTOR, DEPUTY C.O.S  ",2
DISTRICT DIR. - JEFFERSON CO,DISTRICT DIRECTOR - JEFFERSON CO  ,2
DISTRICT DIRECTOR (OTHER COMPENSATION),DISTRICT DIRECTOR   ,2
DISTRICT DIRECTOR-NEW MEXICO,DISTRICT DIRECTOR-NEW MEXICO  ,2
DISTRICT FIELD CORRDINATOR,DISTRICT FIELD DIRECTOR CORRDINATOR  ,2
DISTRICT LIAISON AND FIELD REP,DISTRICT LIAISON/FIELD DIRECTOR REPRESENTATIVE  ,2
DISTRICT LIAISON AND LOGIST DIR,DISTRICT LIAISON/LOGIST DIRECTOR  ,2
DISTRICT OFFICE ASSISTANT,DISTRICT OFFICE ASSISTANT  ,2
DISTRICT OFFICE COORDINATOR,DISTRICT OFFICE COORDINATOR  ,2
DISTRICT OFFICE OF STAFF,DISTRICT OFFICE OF STAFF  ,2
DISTRICT OUTREACH DIRECTOR,DISTRICT OUTREACH DIRECTOR  ,2
DISTRICT PRESS SECRETARY,DISTRICT PRESS SECRETARY  ,2
DISTRICT PROJECT MANAGER,DISTRICT PROJECT MANAGER  ,2
DISTRICT PROJECTS MANAGER,DISTRICT PROJECTS MANAGER  ,2
DISTRICT RECEPTIONIST,DISTRICT RECEPTIONIST  ,2
DISTRICT REP. AND POLICY LIAISON,DISTRICT REPRESENTATIVE / POLICY LIAISON  ,2
DISTRICT REP AND SCHEDULER,DISTRICT REPRESENTATIVE/SCHEDULER  ,2
DISTRICT REP-OUTREACH,DISTRICT REPRESENTATIVE-OUTREACH  ,2
DISTRICT SCHED AND EA AND CASEWORKER,DISTRICT SCHED/EA/CASEWORKER  ,2
DISTRICT SCHEDULER AND EXEC ASSIST,DISTRICT SCHEDULER/EXECUTIVE ASSISTANT  ,2
DISTRICT SCHEDULER AND FIELD REP,DISTRICT SCHEDULER/FIELD DIRECTOR REPRESENTATIVE  ,2
DISTRICT SCHEDULER AND STAFF ASSIS,DISTRICT SCHEDULER/STAFF ASSIS  ,2
DISTRICT SPECIAL ASSISTANT,DISTRICT SPECIAL ASSISTANT  ,2
DOCUMENT PRODUCTION SPECIALST,DOCUMENT PRODUCTION SPECIALST  ,2
DOCUMENTS CLERK,DOCUMENTS CLERK  ,2
DOWNRIVER COORDINATOR,DOWNRIVER COORDINATOR  ,2
DPTY CHIEF OF STAFF AND COMMUNICA,DEPUTY CHIEF OF STAFF/COMMUNICATIONS  ,2
DPTY CHIEF OF STF AND DIST DIR,DEPUTY CHIEF OF STAFF/DISTRICT DIRECTOR  ,2
EA AND SCHEDULER,EA/SCHEDULER  ,2
ECON DEVELOPMENT REP,ECONOMIC DEVELOPMENT REPRESENTATIVE  ,2
ECONOMIC DEVELOPMENT SPECIALIS,ECONOMIC DEVELOPMENT SPECIALIS  ,2
ED OUTREACH COOR AND OFF MANAGER,EDUCATION OUTREACH COORDINATOR/OFF MANAGER  ,2
EDITOR & PRINTER,EDITOR AND PRINTER  ,2
EDITOR (P),EDITOR   ,2
EDITOR AND DOCUMENT CLERK,EDITOR/DOCUMENT CLERK  ,2
EDUCATION POLCY ADVIS FOR SUBC,EDUCATION POLCY ADVISOR FOR SUBCOMMITTEE  ,2
EDUCATION POLICY ASSOCIATE,EDUCATION POLICY ASSOCIATE  ,2
EDUCATION POLICY COUNSEL,EDUCATION POLICY COUNSEL  ,2
ENERGY ADVISOR,ENERGY ADVISOR  ,2
ENGINEERING OPS MANAGER,ENGINEERING OPERATIONS MANAGER  ,2
ENTERP STORAGE SYS BRANCH MGR,ENTERP STORAGE SYSTEMS BRANCH MANAGER  ,2
ENTERP TECHNOL SYS BRANCH MGR,ENTERP TECHNOL SYSTEMS BRANCH MANAGER  ,2
ENVIRONMENTAL LEGISLATIVE ASSI,ENVIRONMENTAL LEGISLATIVE ASSISTANT  ,2
EVENTS AND PROJECTS COORDINATO,EVENTS AND PROJECTS COORDINATOR ,2
EVERETT CASE WORKER,EVERETT CASE WORKER  ,2
EXEC ASSIST AND SCHEDULER,EXECUTIVE ASSISTANT/SCHEDULER  ,2
EXEC ASSISTANT AND DC SCHEDULER,EXECUTIVE ASSISTANT/DC SCHEDULER  ,2
EXEC ASSISTANT AND OFFICE MANAGER,EXECUTIVE ASSISTANT/OFFICE MANAGER  ,2
EXEC ASST AND DISTRICT SCHEDULER,EXECUTIVE ASSISTANT/DISTRICT SCHEDULER  ,2
EXEC ASST AND NATO POLICY ADVISOR,EXECUTIVE ASSISTANT/NATO POLICY ADVISOR  ,2
EXEC DIRECTOR- IRC,EXECUTIVE DIRECTOR- IRC  ,2
EXECUTIVE ADMINISTRATOR (OVERTIME),EXECUTIVE ADMINISTRATOR   ,2
EXECUTIVE ASSISTANT AND OFC MGR,EXECUTIVE ASSISTANT/OFFICE MANAGER  ,2
EXECUTIVE ASSISTANT AND PRESS SECR,EXECUTIVE ASSISTANT/PRESS SECRETARY  ,2
EXECUTIVE ASST OFFICE MANAGER,EXECUTIVE ASSISTANT OFFICE MANAGER  ,2
EXECUTIVE ASST AND LEGIS AIDE,EXECUTIVE ASSISTANT/LEGISLATIVE AIDE  ,2
"EXECUTIVE DIR, WESTERN CAUCUS","EXECUTIVE DIRECTOR, WESTERN CAUCUS  ",2
EXECUTIVE DIRECTOR AND W CAUCUS,EXECUTIVE DIRECTOR/WESTERN CAUCUS  ,2
EXECUTIVE LEGIS ASSISTANT,EXECUTIVE LEGISLATIVE ASSISTANT  ,2
EXECUTIVE SCHEDULER,EXECUTIVE SCHEDULER  ,2
EXECUTIVE SECRETARY,EXECUTIVE SECRETARY  ,2
EXECUTIVE SECRETARY AND SCHEDULER,EXECUTIVE SECRETARY/SCHEDULER  ,2
EXECUTIVE STAFF ASSISTANT,EXECUTIVE STAFF ASSISTANT  ,2
EXECUTIVE AND PRESS ASSISTANT,EXECUTIVE/PRESS ASSISTANT  ,2
FACILITIES MANAGEMENT SPECIALI,FACILITIES MANAGEMENT SPECIALIST  ,2
FAYETTEVILLE OFC MGR AND CONSTIT,FAYETTEVILLEOFFICE MANAGER/CONSTITUENT  ,2
FIELD ASSISTANT,FIELD DIRECTOR ASSISTANT  ,2
FIELD COORDINATOR,FIELD DIRECTOR COORDINATOR  ,2
FIELD DEPUTY AND CASEWORKER,FIELD DIRECTOR DEPUTY/CASEWORKER  ,2
FIELD OFFICE REPRESENTATIVE,FIELD DIRECTOR OFFICE REPRESENTATIVE  ,2
FIELD OUTREACH COORDINATOR,FIELD DIRECTOR OUTREACH COORDINATOR  ,2
FIELD REP & SPEC PROJECTS COOR,FIELD DIRECTOR REPRESENTATIVE AND SPECIALIST PROJECTS COORDINATOR  ,2
FIELD REP & SYS ADMIN,FIELD DIRECTOR REPRESENTATIVE AND SYSTEMS ADMINISTRATOR  ,2
FIELD REP. AND CONSTITUENT SERVICE,FIELD DIRECTOR REPRESENTATIVE/CONSTITUENT SERVICE  ,2
"FIELD REP. AND FARMINGTON OFC., NM","FIELD DIRECTOR REPRESENTATIVE/FARMINGTON OFC., NM  ",2
FIELD REP AND CHAUTAUQUA COUNTY,FIELD DIRECTOR REPRESENTATIVE/CHAUTAUQUA COUNTY  ,2
FIELD REP AND COMMUNITY LIAISON,FIELD DIRECTOR REPRESENTATIVE/COMMUNITY LIAISON  ,2
FIELD REP AND DIST OFC MANAGER,FIELD DIRECTOR REPRESENTATIVE/DISTRICTOFFICE MANAGER  ,2
FIELD REP AND DISTRICT SCHEDULER,FIELD DIRECTOR REPRESENTATIVE/DISTRICT SCHEDULER  ,2
FIELD REP AND OFFICE MANAGER,FIELD DIRECTOR REPRESENTATIVE/OFFICE MANAGER  ,2
FIELD REP AND SR CITIZENS LIAISON,FIELD DIRECTOR REPRESENTATIVE/SENIOR CITIZENS LIAISON  ,2
FIELD REP AND STAFF ASST,FIELD DIRECTOR REPRESENTATIVE/STAFF ASSISTANT  ,2
FIELD REPRESENTATIVE AND CASE MGR,FIELD DIRECTOR REPRESENTATIVE/CASE MANAGER  ,2
FIELD REPRESENTATIVE AND DISTRICT,FIELD DIRECTOR REPRESENTATIVE/DISTRICT  ,2
FIELD AND CONSTIT OUTREACH SUPERVI,FIELD/CONSTITUENT OUTREACH SUPERVISOR  ,2
FIELDWORKER,FIELD WORKER  ,2
FINANCE ASSISTANT,FINANCE ASSISTANT  ,2
FINANCIAL ADMIN. - REPUBLICAN,FINANCIAL ADMINISTRATOR - REPUBLICAN  ,2
FINANCIAL ADMINISTRATOR AND SCHEDU,FINANCIAL ADMINISTRATOR/SCHEDULER ,2
FINANCIAL AND ADMIN. OFFICER,FINANCIAL AND ADMINISTRATOR OFFICER  ,2
FINANCIAL LEGISLATIVE ASST,FINANCIAL LEGISLATIVE ASSISTANT  ,2
FINANCIAL MANAGER,FINANCIAL MANAGER  ,2
FIRST ASSISTANT,FIRST ASSISTANT  ,2
FLOOR ASSISTANT (STAT),FLOOR ASSISTANT (STAT)  ,2
FLOOR DIRECTOR,FLOOR DIRECTOR  ,2
FLOOR DIRECTOR AND COUNSEL,FLOOR DIRECTOR AND COUNSEL  ,2
FOREIGN AFFAIRS ADVISOR,FOREIGN AFFAIRS ADVISOR  ,2
FULL COMMITTEE CLERK,FULL COMMITTEE CLERK  ,2
FULL COMMITTEE COUNSEL,FULL COMMITTEE COUNSEL  ,2
GALESBURG OFFICE DIRECTOR,GALESBURG OFFICE DIRECTOR  ,2
GASTON COUNTY COORDINATOR,GASTON COUNTY COORDINATOR  ,2
GEN COUNSEL & DEP STAFF DIREC,GENERAL COUNSEL AND DEPUTY STAFF DIRECTOR  ,2
GEN. COUNSEL AND DIR. OF FLOOR OPS,GENERAL  COUNSEL/DIRECTOR OF FLOOR OPERATIONS  ,2
GENERAL COUNSEL AND CHIEF COUNSEL,GENERAL COUNSEL/CHIEF COUNSEL  ,2
GOV’T & COMMUNITY REL. LIAISON,GOVERNMENT AND COMMUNITY RELATIONS LIAISON  ,2
GRANT ANALYST AND COMM LIA NONPROF,GRANT ANALYST/COMMUNICATION LIA NONPROFESSIONAL  ,2
GRANTS & PROJECTS COORDINATOR,GRANTS AND PROJECTS COORDINATOR  ,2
GRANTS ADMINISTRATOR,GRANTS ADMINISTRATOR  ,2
GRANTS COORD AND COMMUN LIAISON,GRANTS COORDINATOR/COMMUNICATIONS LIAISON  ,2
GRANTS DIRECTOR AND FIELD REP,GRANTS DIRECTOR/FIELD DIRECTOR REPRESENTATIVE  ,2
GRANTS MANAGER,GRANTS MANAGER  ,2
GRANTS MNGR AND COMM SVCS LIAISON,GRANTS MNGR/ COMMUNICATION SERVICES LIAISON  ,2
GRAPHICS MANAGER,GRAPHICS MANAGER  ,2
HARDWARE ENGINEER,HARDWARE ENGINEER  ,2
HARDWARE ENGINEER (OVERTIME),HARDWARE ENGINEER   ,2
HEAD TEACHER,HEAD TEACHER  ,2
HEALTH CARE COUNSEL,HEALTH CARE COUNSEL  ,2
HEALTH COUNSEL,HEALTH COUNSEL  ,2
HEALTH LEGISLATIVE ASSISTANT,HEALTH LEGISLATIVE ASSISTANT  ,2
HEARING CLERK,HEARING CLERK  ,2
HISTORIAN OF THE HOUSE,HISTORIAN OF THE HOUSE  ,2
HOMELAND SECURITY ADVISOR,HOMELAND SECURITY ADVISOR  ,2
HOMELAND SECURITY ASSISTANT,HOMELAND SECURITY ASSISTANT  ,2
HOUSE PAGE RESIDENCE HALL DIR,HOUSE PAGE RESIDENCE HALL DIRECTOR  ,2
HOUSE TECHNOLOGY DIRECTOR,HOUSE TECHNOLOGY DIRECTOR  ,2
HOUSING SPEC. AND INTAKE DIR.,HOUSING SPECIALIST/INTAKE DIRECTOR  ,2
HUMAN RESOURCES DIRECTOR,HUMAN RESOURCES DIRECTOR  ,2
HUMAN RESOURCES STAFF DIRECTOR,HUMAN RESOURCES STAFF DIRECTOR  ,2
HUMAN SVCS LIAISON CASEWKR,HUMAN SERVICES LIAISON CASEWORKER  ,2
HUNTSVILLE CASEWORKER,HUNTSVILLE CASEWORKER  ,2
HWY POLICY DIR-HWY TRANSIT SUB,HIGHWAY POLICY DIRECTOR-HIGHWAY TRANSIT SUBCOMMITTEE  ,2
IMMIGRATION CASEWORKER,IMMIGRATION CASEWORKER  ,2
IMMIGRATION SPECIALIST,IMMIGRATION SPECIALIST  ,2
INFO SYSTEMS SECURITY MNGR,INFORMATION SYSTEMS SECURITY MANAGER  ,2
INFORMATION RESOURCES MANAGER,INFORMATION RESOURCES MANAGER  ,2
INFORMATION TECH ASST,INFORMATION TECHNICAL ASSISTANT  ,2
INFORMATION TECHNOLOGY ASSIST,INFORMATION TECHNOLOGY ASSISTANT  ,2
INFORMATION TECHNOLOGY SPECIAL,INFORMATION TECHNOLOGY SPECIAL  ,2
INTERIM PRESS SECRETARY,INTERIM PRESS SECRETARY  ,2
INTERIM PRESS SECRETARY (OVERTIME),INTERIM PRESS SECRETARY   ,2
INTERN COORDINATOR,INTERN COORDINATOR  ,2
INTERNATIONAL AND IMMIGRATION SPEC,INTERNATIONAL/IMMIGRATION SPECIALIST  ,2
INVENTORY ADMINISTRATOR,INVENTORY ADMINISTRATOR  ,2
INVENTORY SPEC AND SPECIAL ASSIST,INVENTORY SPECIALIST/SPECIAL ASSISTANT  ,2
INVESTIGATIVE ASSOCIATE,INVESTIGATIVE ASSOCIATE  ,2
"INVESTIGATOR,OVERSIGHT & INVES","INVESTIGATOR,OVERSIGHT AND INVESTIGATIONS ",2
ISSUES DIRECTOR,ISSUES DIRECTOR  ,2
IT ADVOCACY AND OPS MANAGER,INFORMATION TECHNOLOGY ADVOCACY AND OPERATIONS MANAGER  ,2
IT DIRECTOR,INFORMATION TECHNOLOGY DIRECTOR  ,2
IT SYSTEMS MANAGER,INFORMATION TECHNOLOGY SYSTEMS MANAGER  ,2
JOURNAL CLERK,JOURNAL CLERK  ,2
JR LEGISLATIVE AIDE,JUNIOR LEGISLATIVE AIDE  ,2
JUDICIARY COUNSEL,JUDICIARY COUNSEL  ,2
JUNIOR LA AND PRESS ASSISTANT,JUNIORLEGISLATIVE ASSISTANT/PRESS ASSISTANT  ,2
JUNIOR PROFESSIONAL STAFF (S),JUNIOR PROFESSIONAL STAFF (S)  ,2
KITSAP COUNTY DIRECTOR,KITSAP COUNTY DIRECTOR  ,2
LABOR LIAISON,LABOR LIAISON  ,2
LABOR POLICY DIRECTOR,LABOR POLICY DIRECTOR  ,2
LAS VEGAS NM FIELD REP,LAS VEGAS NM FIELD DIRECTOR REPRESENTATIVE  ,2
LAW REVISION COUNSEL,LAW REVISION COUNSEL  ,2
LAWTON FIELD REPRESENTATIVE,LAWTON FIELD DIRECTOR REPRESENTATIVE  ,2
LAWTON OFFICE MGR AND CASEWORKER,LAWTON OFFICE MANAGER/CASEWORKER  ,2
LC,LEGISLATIVE CORRESPONDENT ,2
LC FOR IMMIGRATION & INTL TRAD,LEGISLATIVE CORRESPONDENTFOR IMMIGRATION AND INTERNATIONAL TRAD E ,2
LC AND COMMUNICATIONS SPECIALIST,LEGISLATIVE CORRESPONDENT/COMMUNICATIONS SPECIALIST  ,2
LC AND LEGISLATIVE ASSISTANT,LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT  ,2
LC AND SYSTEMS,LEGISLATIVE CORRESPONDENT/SYSTEMS  ,2
LC AND SYSTEMS ADMINISTRATOR,LEGISLATIVE CORRESPONDENT/SYSTEMS ADMINISTRATOR  ,2
LEAD CASE SPECIALIST,LEAD CASE SPECIALIST  ,2
LEG ASST & SYSTEMS ADM,LEGISLATIVE ASSISTANT AND SYSTEMS ADMINISTRATOR  ,2
LEG ASST AND DEP PRESS,LEGISLATIVE ASSISTANT/DEPUTY PRESS  ,2
LEG ASST AND SUBCMTE ON DAMA,LEGISLATIVE ASSISTANT/SUBCOMMITTEE ON DAMA  ,2
LEG ASST AND SUBCMTE ON EO,LEGISLATIVE ASSISTANT/SUBCOMMITTEE ON EO  ,2
LEG ASST AND SUBCMTE ON O&I,LEGISLATIVE ASSISTANT/SUBCOMMITTEE ON OVERSIGHT AND INVESTIGATIONS  ,2
LEG CORR & DEPUTY PRESS SEC,LEGISLATIVE CORRESPONDENCE AND DEPUTY PRESS SECRETARY  ,2
LEG CORRESPONDENT AND ASSISTANT,LEGISLATIVE CORRESPONDENT/ASSISTANT  ,2
LEG COUNSEL AND SR POLICY ADVISOR,LEGISLATIVE COUNSEL/SENIOR POLICY ADVISOR  ,2
LEGAL COUNSEL AND PARLIAMENTARIAN,LEGAL COUNSEL/PARLIAMENTARIAN  ,2
LEGAL FELLOW,LEGAL FELLOW  ,2
LEGIS ASST FOR APPROPRIATIONS,LEGISLATIVE ASSISTANT FOR APPROPRIATIONS  ,2
LEGIS ASST AND DEP COMM DIR,LEGISLATIVE ASSISTANT/DEPUTY COMMUNICATION DIRECTOR  ,2
LEGIS ASST AND LEGIS CORRESPONDENT,LEGISLATIVE ASSISTANT/LEGISLATIVE CORRESPONDENT  ,2
LEGIS ASST AND RULES ASSOCIATE,LEGISLATIVE ASSISTANT/RULES ASSOCIATE  ,2
LEGIS ASST AND SUBCMTE HEALTH,LEGISLATIVE ASSISTANT/SUBCOMMITTEE HEALTH  ,2
LEGIS ASST-INTERGOV’T AFFAIRS,LEGISLATIVE ASSISTANT-INTERGOVERNMENT AFFAIRS  ,2
LEGIS ASST-OFFICE MANAGER,LEGISLATIVE ASSISTANT-OFFICE MANAGER  ,2
LEGIS CORR AND ONLINE MEDIA,LEGISLATIVE CORRESPONDENT/ONLINE MEDIA  ,2
LEGIS CORRES AND LEGIS ASSISTANT,LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT  ,2
LEGIS CORRES AND ONLINE COMM AIDE,LEGISLATIVE CORRESPONDENT/ONLINE COMMUNICATION AIDE  ,2
LEGIS CORRES AND SYSTEMS MANAGER,LEGISLATIVE CORRESPONDENT/SYSTEMS MANAGER  ,2
LEGIS CORRESPONDENT AND PRESS ASST,LEGISLATIVE CORRESPONDENT/PRESS ASSISTANT  ,2
LEGIS DIR AND PRES SECY,LEGISLATIVE DIRECTOR/PRESS SECRETARY  ,2
LEGIS DIR AND SR POLICY ADV,LEGISLATIVE DIRECTOR/SENIOR POLICY ADVISOR  ,2
LEGIS DIRECTOR & LEGAL COUNSEL,LEGISLATIVE DIRECTOR AND LEGAL COUNSEL  ,2
LEGIS. ASST-HIGHWAYS & TRAN SC,LEGISLATIVE ASSISTANT-HIGHWAYS AND TRAN SUBCOMMITTEE  ,2
LEGIS. CORRES AND DISTRICT SCHED,LEGISLATIVE CORRESPONDENT/DISTRICT SCHEDUCATION  ,2
LEGIS. CORRESPONDENCE MANAGER,LEGISLATIVE CORRESPONDENCE MANAGER  ,2
LEGISLATIVE & TECH CORR,LEGISLATIVE AND TECHNICAL CORRESPONDENCE  ,2
LEGISLATIVE AIDE AND SYSTEMS ADMIN,LEGISLATIVE AIDE/SYSTEMS ADMINISTRATOR  ,2
LEGISLATIVE ASSIST AND LEGAL COUNS,LEGISLATIVE ASSISTANT/LEGAL COUNS  ,2
LEGISLATIVE ASSIST AND SYS ADMINIS,LEGISLATIVE ASSISTANT/SYSTEMS ADMINIS  ,2
LEGISLATIVE ASSISTANT AND CASEWORK,LEGISLATIVE ASSISTANT/CASEWORK  ,2
LEGISLATIVE ASSISTANT AND LEG. COR,LEGISLATIVE ASSISTANT/LEGISLATIVE CORRESPONDENT ,2
LEGISLATIVE ASSISTANT AND PRESS SE,LEGISLATIVE ASSISTANT/PRESS SECRETARY  ,2
LEGISLATIVE ASSISTANT AND SCHEDULE,LEGISLATIVE ASSISTANT/SCHEDULE  ,2
LEGISLATIVE ASSISTANT AND SYSTEMS,LEGISLATIVE ASSISTANT/SYSTEMS  ,2
LEGISLATIVE ASST & COUNSEL,LEGISLATIVE ASSISTANT AND COUNSEL  ,2
LEGISLATIVE ASST & DEPUTY PRES,LEGISLATIVE ASSISTANT AND DEPUTY PRESS  ,2
LEGISLATIVE ASST & SYS ADMIN,LEGISLATIVE ASSISTANT AND SYSTEMS ADMINISTRATOR  ,2
LEGISLATIVE ASST AND LEGIS CLERK,LEGISLATIVE ASSISTANT/LEGISLATIVE CLERK  ,2
LEGISLATIVE ASST AND SYSTEMS ADMIN,LEGISLATIVE ASSISTANT/SYSTEMS ADMINISTRATOR  ,2
LEGISLATIVE ASST-AVIATION SUB.,LEGISLATIVE ASSISTANT-AVIATION SUBCOMMITTEE  ,2
"LEGISLATIVE CLERK,F.C.","LEGISLATIVE CLERK,FULL COMMITTEE  ",2
LEGISLATIVE CORR AND EXEC. AIDE,LEGISLATIVE CORRESPONDENT/ EXECUTIVE AIDE  ,2
LEGISLATIVE CORRES AND ASST PRESS,LEGISLATIVE CORRESPONDENT/ASSISTANT PRESS  ,2
LEGISLATIVE CORRES AND LEGIS ASST,LEGISLATIVE CORRESPONDENT/LEGISLATIVE ASSISTANT  ,2
LEGISLATIVE CORRESPOND AND SHARED,LEGISLATIVE CORRESPOND/SHARED ,2
LEGISLATIVE CORRESPONDENT AND AIDE,LEGISLATIVE CORRESPONDENT/AIDE  ,2
LEGISLATIVE COUNSEL AND DIRECTOR,LEGISLATIVE COUNSEL/DIRECTOR  ,2
LEGISLATIVE DIR AND CHIEF COUNSEL,LEGISLATIVE DIRECTOR/CHIEF COUNSEL  ,2
LEGISLATIVE DIR AND DEFENSE ADVISO,LEGISLATIVE DIRECTOR/DEFENSE ADVISOR R ,2
LEGISLATIVE DIR AND DEPUTY COS,LEGISLATIVE DIRECTOR/DEPUTY CHIEF OF STAFF  ,2
LEGISLATIVE DIRECTOR AND COUNSEL,LEGISLATIVE DIRECTOR/COUNSEL  ,2
LEGISLATIVE DIRECTOR AND SYST MGR,LEGISLATIVE DIRECTOR/SYTEMS MANAGER  ,2
LEGISLATIVE OPERATIONS ADVISOR,LEGISLATIVE OPERATIONS ADVISOR  ,2
LEGISLATIVE REPRESENTATIVE,LEGISLATIVE REPRESENTATIVE  ,2
LEGISLATIVE RESEARCH DIRECTOR,LEGISLATIVE RESEARCH DIRECTOR  ,2
LEGISLATIVE SPECIAL ASSISTANT,LEGISLATIVE SPECIAL ASSISTANT  ,2
LEGISLATIVE STAFF ASST (MIN),LEGISLATIVE STAFF ASSISTANT (MINORITY)  ,2
LEGISLATIVE AND EXECUTIVE ASSISTAN,LEGISLATIVE/EXECUTIVE ASSISTANT  ,2
LIAISON AND CASEWORKER,LIAISON/CASEWORKER  ,2
LIBRARY CLERK,LIBRARY CLERK  ,2
LOCKSMITH,LOCKSMITH  ,2
LOW COUNTRY COORDINATOR,LOW COUNTRY COORDINATOR  ,2
MAJ FULL COMM STAFF DIRECTOR,MAJORITY FULL COMMUNICATION STAFF DIRECTOR  ,2
MANAGER MODULAR FURNITURE,MANAGER MODULAR FURNITURE  ,2
MANAGER OF COMMUNITY RELATIONS,MANAGER OF COMMUNITY RELATIONS  ,2
MANAGER PROJECTS & GRANTS,MANAGER PROJECTS AND GRANTS  ,2
"MANAGER, CABINET","MANAGER, CABINET  ",2
"MANAGER, CAO FIRST CALL PLUS","MANAGER, CAO FIRST CALL PLUS  ",2
"MANAGER, CAO HUMAN RESOURCES","MANAGER, CAO HUMAN RESOURCES  ",2
"MANAGER, CARPET","MANAGER, CARPET  ",2
"MANAGER, CENT REC & WAREHOUSE","MANAGER, CENT REC AND WAREHOUSE  ",2
"MANAGER, FINISHING","MANAGER, FINISHING  ",2
"MANAGER, LOGISTICS","MANAGER, LOGISTICS  ",2
"MANAGER, NETWORK SYST ENGINEER","MANAGER, NETWORK SYSTEMS ENGINEER  ",2
"MANAGER, PERFORMANCE & AWARDS","MANAGER, PERFORMANCE AND AWARDS  ",2
"MANAGER, SALES & CUSTOMER SVC","MANAGER, SALES AND CUSTOMER SERVICE  ",2
"MANAGER, TECH SOLUTIONS","MANAGER, TECHNICAL SOLUTIONS  ",2
"MANAGER, UPHOLSTERY AND DRAPERY","MANAGER, UPHOLSTERY/DRAPERY  ",2
MANHATTAN COMMUNITY REP (OTHER COMPENSATION),MANHATTAN COMMUNITY REPRESENTATIVE   ,2
MANHATTAN DIRECTOR,MANHATTAN DIRECTOR  ,2
MANUSCRIPT EDITOR,MANUSCRIPT EDITOR  ,2
MARKETING & INVENTORY MANAGER,MARKETING AND INVENTORY MANAGER  ,2
MCALLEN DISTRICT OFFICE STAFF,MCALLEN DISTRICT OFFICE STAFF  ,2
MEDIA COORDINATOR,MEDIA COORDINATOR  ,2
MEMBER SERVICES MANAGER,MEMBER SERVICES MANAGER  ,2
MEMBERS & FAMILY ROOM COORD. (OVERTIME),MEMBERS AND FAMILY ROOM COORDINATOR   ,2
"MGR, CHAMBER SUPPORT SERVICES","MANAGER, CHAMBER SUPPORT SERVICES  ",2
"MGR,REPUB FLOOR INFO SERVICE","MANAGER,REPUBLICAN FLOOR INFORMATION SERVICE  ",2
MIDLANDS AREA DIRECTOR,MIDLANDS AREA DIRECTOR  ,2
MIL & VETERANS AFFAIRS DIR,MIL AND VETERANS AFFAIRS DIRECTOR  ,2
MILITARY & DEFENSE AFFAIRS REP,MILITARY AND DEFENSE AFFAIRS REPRESENTATIVE  ,2
MILITARY & VET AFFAIRS LIASION,MILITARY AND VETERAN AFFAIRS LIASION  ,2
